artist_name,Artist_ID,Artist_Image_URL
Jamie Foxx,7LnaAXbDVIL75IVPnndf7w,https://i.scdn.co/image/a3823abbd476fa00cdf95a9f5cbbe09d2f96add2
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,https://i.scdn.co/image/ab6761610000e5eb3d7888ba4d2bf67fe6b64a55
Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,https://i.scdn.co/image/ab6761610000e5ebf2db81b3312a1f167fc54096
Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0,https://i.scdn.co/image/ab6761610000e5ebe9edae8fe232af1d2995c991
Snoop Lion,4RxUeUyMaEe2T5tvULq5j0,https://i.scdn.co/image/2b6e02cad1325f5a1205fbef5caae154551661d6
Cori B.,29WzbAQtDnBJF09es0uddn,https://i.scdn.co/image/ab6761610000e5ebdcb57d08016c41fca3e221ab
Waka Flocka Flame,6f4XkbvYlXMH0QgVRzW0sM,https://i.scdn.co/image/ab6761610000e5eb098d901516df803fdfa7bb74
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,https://i.scdn.co/image/ab6761610000e5eb76470faf6330235edbcb90a9
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
Trouble,3OMd4I5GX8Hz51SLS0C2Fm,https://i.scdn.co/image/ab67616d0000b2734318756625880dd4654818b4
Mike WiLL Made-It,0NWbwDZY1VkRqFafuQm6wk,https://i.scdn.co/image/ab6761610000e5eba1b8879b06ed8204f15d9bc0
Pimmie,1yqM1LpHhFL8txeAwXPpm9,https://i.scdn.co/image/ab6761610000e5ebd2f6e251809508b757fbbdf5
Peter Bjorn and John,6u11Qbko2N2hP4lTBYjX86,https://i.scdn.co/image/ab6761610000e5eb515b60a11a600efe53f5bbd8
Jadakiss,5pnbUBPifNnlusY8kTBivi,https://i.scdn.co/image/ab6761610000e5ebd8dba5c02f8c75eb280dd70e
Chino Pacas,2rmkQLzj0k4nZdQehOUByO,https://i.scdn.co/image/ab6761610000e5eb52f3df55b54da325acb93e84
Justin Timberlake,31TPClRtHm23RisEBtV3X7,https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e
Latto,3MdXrJWsbVzdn6fe5JYkSQ,https://i.scdn.co/image/ab6761610000e5eba11b0b5c37498f5dddb1bd7b
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,https://i.scdn.co/image/ab6761610000e5eb7e2545f678354fc859de15f1
Lloyd,1Xfmvd48oOhEWkscWyEbh9,https://i.scdn.co/image/ab6761610000e5eb5de0901c4bcb8d0352b71c3f
Fabolous,0YWxKQj2Go9CGHCp77UOyy,https://i.scdn.co/image/ab6761610000e5ebece5603bef9fa046ef9a178c
Bad Royale,7kHe4uFK1KQFqMRP7td4mS,https://i.scdn.co/image/ab6761610000e5eb0255bb2ba5746dc4b9541ddb
Tyga,5LHRHt1k9lMyONurDHEdrp,https://i.scdn.co/image/ab6761610000e5ebc0aa5c92c47f7e766074edce
Santigold,6Jrxnp0JgqmeUX1veU591p,https://i.scdn.co/image/ab6761610000e5eb8d7a5250b491f705d4f060b6
Nas,3kYFawNQVZ00FQbgs4rVBe,https://i.scdn.co/image/0078316432cdfb6733c3bde0dc61754d45442d0f
